,text
146,"@realDonaldTrump Take the money you want to spend on your insane wall, and use it to save Houston...AND tackle clim… https://t.co/Ul0ohjpqYA"
147,@realDonaldTrump Drop this foolish wall notion and put money where it benefits Americans most - #Harvey recovery ef… https://t.co/GBXATFLqD8
148,Red  Cross will take the money you donate with them!! Do not give them money! Wait for local orgs to post needs.… https://t.co/AZj8hdqz7a
149,"If you want to help out victims of #harvey,@JJWatt has started fundraising money."
150,"Other than donating money to the @RedCross, what else can we do to help with #Harvey?"
151,@realDonaldTrump I donated to the Red Cross for #harvey and now YOU  can use the money for the wall no one wants to… https://t.co/KRdrovXgSd
152,"Thoughts, love, and prayers are great, but #Houston will need our money, time, and labor to recover from #Harvey."
153,@realDonaldTrump why don't you take any money to be spent on the wall and put it towards Houston. #Harvey
154,"If donating money for #Harvey victims/aid, beware of scams. This is primetime for con artists to take advantage of good-hearted Samaritans."
155,@billprady @billprady Done! @POTUS use your border wall money to help #Harvey victims! #TXnotWall https://t.co/5PcQ9o0ysR
156,"This is why so many people are reluctant to evacuate. What do you do if you have no money for food, lodging and gas… https://t.co/d0ceii2pc8"
157,Reminder: 45 spent all his #SS money &amp; just asked 4an addt'l $60million to feel safe.Let's be generous &amp; send him a… https://t.co/18rEADn8AL
158,Hurricane #Harvey is a #FalseFlag event to try and get people to spend more money on #ClimateChange
159,"@realDonaldTrump Don't spend the money on the wall, use the money to help the people in Texas #harvey @billprady"
160,"Everyone sending thoughts and prayers to #Houston for #Harvey. I feel like an idiot now, I only sent money. (Footnote/credit @rickygervais)"
161,@realDonaldTrump We don't need a wall. Spend money on hurricane relief and rebuilding in #Texas #Harvey
162,Hi I'm donating blood/money to help #Harvey victims that need it has the President shown any sign of empathy yet I can't see his tweets?
163,"@FoxNews @POTUS Instead of wasting money on some dumb ass Wall, why not rebuild Houston instead @realDonaldTrump @GovAbbott  #Harvey"
164,#hurricane #harvey #donate #help #food #money #time @DanicasJewels #houstonflood #compass @compass #samoyed #rescue https://t.co/7A0Ls8h3pB
165,Should take some of that money you won and throw it Houstons way #Harvey https://t.co/FuvVWmL9YE
166,#Harvey evokes reflections of my experience living homeless. Why meaningful change didn't advocate  giving money 2 establish organizations?
167,"Are Texas Republicans gonna be ok with socislist gov't money for clean up? Or are they going to wait for the money to trickle down?
#harvey"
168,"Rather than pat each other on back, #vma celebrities should raise awareness &amp; money for #Harvey victims &amp; survivors."
169,"So many people without cars, multiple children to care for, and little money. How are they supposed to just ""get out?"" #harvey"
170,@realDonaldTrump Texas is going to need a lot of money. #Harvey
171,I have shit on eBay. Buy from me cause I'll need all the money I can get before this is over. #houstonflood #Harvey… https://t.co/hwYk1YLtdr
172,"@realDonaldTrump As a taxpayer, I'd rather see my money go to help rebuild after #Harvey than to this stupid, pointless wall. #NoWall"
173,"If you can't donate money for those affected in #Houston by #Harvey, donate whatever you can. People have lost everything. Texas needs help."
174,This is one of those situations when money helps. Please donate if you can #Harvey #houstonflood
175,"Praying for everybody affected by #Harvey, esp. elderly, disabled and isolated. Also giving blood and money. Hang in there, y'all."
176,"@realDonaldTrump Instead of putting money into the wall, we can use it to rebuild the Greater Houston Area, a globa… https://t.co/e4t29ILoMc"
177,@funder @realDonaldTrump I'm wondering if @EricTrump charity is collecting money which will be earmarked for Texas… https://t.co/nVgx2qblsO
178,All this money getting thrown at Mayweather... I'm curious if he will actually put some of it to good use and help others in need. #Harvey
179,".@realDonaldTrump 
Any and ALL money you are seeking to fund ""The Wall"" MUST be redirected to protect, save and rebuild Texas #Harvey"
180,Spot on. All wall money needs to go to #Harvey relief in all affected areas. .@SenateMajLdr .@SenateGOP .@HouseGOP… https://t.co/V5VKLnRFz4
