,text
188,"Houston's got bad news, stock up on water &amp; food...propane. #Harvey #HurricaneHarvey https://t.co/2cLMn6Qps8"
189,@JimCantore we're gonna bring you some food from our restaurant before we head home. #Harvey #Harvey2017 @theexchangecc
190,"Hardin County emergency management cautions residents to have enough food for two weeks, not to leave pets outside #harvey #setxnews"
191,"Hey @coldplay, we got plenty of coffee cake and chicken at my apartment if y'all need some food. Gotta look out for each other! #Harvey"
192,"FDAfood: For those of you in the path of #Hurricane #Harvey, see these #FoodSafety tips on preparing before storm … https://t.co/DpPqpYCeno"
193,"Emergency kits: 3-day supply of food, water &amp; medical supplies stored in airtight plastic bags &amp; placed in easy-to-… https://t.co/EuAYzpbXbc"
194,"@furt1v3ly Sadly, #Harvey is presently menacing TX, so you'll have to subsist on our delicious fried foods, pies, &amp;… https://t.co/0HCeqiUhVQ"
195,"USAgov: If you lose power in Hurricane #Harvey, these food safety tips from US_FDA can help make sure your food is safe:… …"
196,"To prepare for #Harvey, put together a disaster supplies kit that includes water, food, a first aid kit and pet sup… https://t.co/KWmCXWroFi"
197,"If you lose power in Hurricane #Harvey, these food safety tips from @US_FDA can help make sure your food is safe:… https://t.co/fsIQiq0WOb"
198,#Harvey is now a powerful #hurricane. Get our Hurricane Preparation and Recovery Brief for food businesses.… https://t.co/epzuj74gkj
199,Hurricane Harvey Origin: Targeting Texas https://t.co/qLBK9PmLKh #CNN #MSNBC #TodayShow #Weather #Science #Hurricane #Harvey #Flashfood
200,Amazon to cut Whole Foods prices; energy industry braces for Hurricane Harvey https://t.co/KGncC17lu3 #wholefoods #amazon #harvey
201,"Between the eclipse and #Harvey, we don't blame you if you missed this week's food news.
https://t.co/YUuioq2DGj"
202,"PLEASE REMEMBER ...Evacuating? Think of your pets! Bring their food, bowls, water, toys, kennels and beds. Give them extra love too! #Harvey"
203,"While y'all were getting liquor, food, water and gas, hope y'all stacked up on extra ammo😂

#Harvey
#DaDirtySouth 
#TheDirtySide"
204,We're out here buying up all the food. #Harvey #JoeV @ Joe V's Smart… https://t.co/dsndiECGsI
205,"Got my water, food, gas and downloaded 5 books all ready for #Harvey"
206,Good Morning World keeping up w friends in Gulf Coast of Texas. Guys let take this one serious. Fill the tank &amp; get food and water. #HARVEY
207,@KETV @Citywide_MSVP Nebraska getting in on the action!  Welcome! Get some good food while all y'all are here! 🤠… https://t.co/cBf39a38gn
208,Oh boy!!attention needed #harvey no 🐶n cat food left https://t.co/hN2Qacd6Qw
209,Just want to say we going to run out of food and water by Sunday I can see it #texas #Harvey
210,"All prep work is done: windows taped, lawn stuff stored, fuel filled, food stocked, electronics charged, family saf… https://t.co/YsGcOdYMNJ"
211,"Ok, food and water stocked..cat has plenty of supplies.  Ready as I'm going to get to ride out the storm.  Bring it #Harvey"
212,"The people we encountered on Long Island had gone through a storm that was a fraction as bad as #Harvey, but had no food, water, or shelter."
213,maybe i should of prepared for #Harvey because like... i have no food in my apartment 🙃
214,So I'm sitting here eating all this food I bought for this hurricane and it's a day away 🤦🏽‍♂️... #Harvey
215,"I've got ice, beer, gas, whiskey, food, more ice, more gas, batteries, ditch digging tools, and more beer at the ready.   Come at me #Harvey"
216,"Yaaa @Thomas906T and I don't have enough food for a flood... it's gonna be like an episode of ""naked and afraid"" in the apartment. #Harvey"
217,"@andreagrimes Today I stocked up on food for my pup &amp; cats, water and whiskey. My articles deadlining this weekend… https://t.co/jzkuOQJyC8"
218,What if #Harvey is just a ploy to make the water bottle and canned food companies a ton of money this weekend???
219,"I prepared by buying junk food, cuz that's all that was left at the store. No gas, water, produce, canned food. Got formula!We good.#Harvey"
220,"Outside secured. Rain gutters clear. Food, water, ice, beer ✅. Bags of dog food. Vehicle tanks full. #Ready #Harvey  https://t.co/ofsQoGQC8k"
221,Hurricane #harvey tip. Freeze water bottles to keep food cold in the refrigerator if the power… https://t.co/ZtXGZ3f8cc
222,I hope I don't eat all of my storm food tonight... 🙄 #Harvey
223,My mom said she stocked up on food and then showed me a bag of pan dulce. She knows me so well. #priorities #Harvey
224,What's your favorite hurricane food? #share #Harvey #Texas
225,Who's ready for #harvey ?! #thisgal #winedrawer #meltedcake #junkfood #chili @ Inverness… https://t.co/gHhsvZg4Kc
226,What's your favorite hurricane food? #share #Harvey
227,"Get ready for #Harvey with batteries, flashlight, water, a first-aid kit, non-perishable food &amp; cash:… https://t.co/SUcmEZ6oE0"
228,"Your ""regular"" grocery stores out of #Harvey food needs? Go to Chinatown &amp; hit the Asian grocers. Fully stocked water &amp; eats. #ProTip"
229,"@mewmewmew13 More like, get out of state-take yr essentials, water, canned food RX's, pet needs, etc.

Photo et for… https://t.co/Kf5vNFjfxZ"
230,This is what Houston has available for bottled water and canned food. #hurricane #harvey… https://t.co/OLPEgcmTtc
231,Going to get lots of fat  food for the weekend cus it's just gonna be Netflix and eat ya'll...thanks #Harvey
232,#hurricane #Harvey #murderersrow #healthyfood https://t.co/fT5zUVHGgJ
233,Hmmm...I can buy a bunch of crappy non-perishable food to prepare for #Harvey or I can buy a cooler and cook food that's still good cold.
234,"Seeing model output being shared for #Harvey rainfall with the tag ""likely overdone"". Here's food for thought: what if it's not overdone?"
235,Hey @ATT #Harvey isn't even here yet and your service is just the worst maybe sending people out after the food will make it less atrocious.
236,"""No one's buying frozen food today at all,"" H-E-B prez Scott McClelland tells @nsarnoff https://t.co/PrBeqwdiOq via @HoustonChron #Harvey"
