,text
169,"Galleria area...where is the best place to take supplies, clothes, etc. for those in need?Still pretty landlocked.
#Harvey 
@KPRC2 
@KHOU"
170,@ootdfash is looking to donate clothes for #Harvey survivors! DM them
171,".ScientologyVM's working night shift helping 5000 sitting in cots giving people clothes, towels, shoes, hygiene sup… https://t.co/8Cquy3rgJG"
172,".ScientologyVM's working night shift helping 5000 sitting in cots giving people clothes, towels, shoes, hygiene sup… https://t.co/0BKMSfte5t"
173,".ScientologyVM's working night shift helping 5000 sitting in cots giving people clothes, towels, shoes, hygiene sup… https://t.co/1N1H11imDs"
174,".ScientologyVM's working night shift helping 5000 sitting in cots giving people clothes, towels, shoes, hygiene sup… https://t.co/PkJaDeo2kY"
175,I have a lot of clothes I can donate for survivors of #Harvey - Where can I bring it all to in #Miami? #HarveyFlood #Houston #houstonflood
176,(1/3) I'm about to go through my clothes &amp; donate a bunch of stuff (most have been barely worn) to the victims of #Harvey. And then...
177,Heels to hurricane aftermath? Nothing like making a fashionable entrance to a crowd of people whose clothes are all underwater. #Harvey
178,"Hurricane #Harvey: How to help victims of the Texas storm https://t.co/QeNVCXOgaG via @houstonchron
STOP donating clothes! #Houston"
179,@FredWCNC is @wcnc collecting clothes/supplies for #Harvey victims or do y'all know who is?
180,"people don't need clothes right now they need food, water and blankets. money is the best option rn. clothes are needed later on #harvey"
181,I have a bunch of baby clothes I wanted to sell but I'd rather donate then to #Harvey victims. Can someone point me in the right direction?
182,ATL actors! .@GetSceneStudios is collecting donations for children in the wake of #Harvey. Plz donate toys/clothes/diapers to their studio.
183,Donated my clothes &amp; bought some supplies for the people effected by #Harvey coming to the Dallas Convention Center 🙏🏾
184,"#Harvey #Houstonflood Drop supplies- incl. clothes ""full figured"" women&amp;men to @BBVACompassStdm NOT @GRBCC… https://t.co/iMLjZPzGVO"
185,"When school starts there bet not be any mess abt ppl's clothes, hair etc. bc you have NO IDEA wht they lost during this storm #Harvey 💯"
186,Alert #IvankaDisasterBranding sends stylish clothes to #Harvey victims #DementedDaddy sending ties from China #TrumpLove
187,Mayor of #Houston says please take clothes and goods #donations to BBVA. #Harvey #HopeForHouston
188,"All donations now being routed to @BBVACompassStdm, not GRB, @SylvesterTurner says. #harvey Items for kids now in greater need than clothes."
189,Please if anybody knows where we can donate clothes and water Universal Mortgage and Finance will help #Harvey
190,"When school starts there better not be any mess abt ppl's clothes,hair,etc. bc you have NO IDEA wht they lost during all this #Harvey"
191,"They lost all beds, clothes, toys, food. to start trying to help and make the process easier. #Harvey"
192,#Harvey @maddow @chrislhayes @Rosie @CNN can u spread ways 2 help ask local cleaners/laundromat 2 open doors for people to get clothes clean
193,Donating my clothes that I no longer need to those that are in need 🙏. Stay Safe #Harvey
194,If anyone knows of where to donate girls clothes let me know! #Harvey #Houston #HoustonFloods
195,"League City says it doesn't need any more used clothes, but thanks everyone who has donated items. #Harvey #NotOver https://t.co/LHluUcnd54"
196,"In wake of #Harvey, vols at Houston's #Lakewood Church are sorting through an incredible amount of clothes/donation… https://t.co/ixDcCAVNLG"
197,@patriothates45 Oh my fucking god. How big of a scumbag do you have to be to worry about #FLOTUS clothes while ppl are dying. #harvey
198,Where can i donate all mine and noah's unworn clothes?? Someone hit me with a church address/link. I need to help. #harvey
199,"@WNCRedCross What's being done to collect items like clothes, diapers, baby formula, etc to send to Texas for #Harvey #TexasFlood survivors?"
200,"Ok so I have new unopened diapers and nice baby clothes to donate...how do I go about doing this?
#HurricaneHarvey #Harvey #Harvey2017"
201,@thehill @Willow_Shakes Its sad that she has no better sense than to disrespect #Harvey victims by wearing party clothes to a disaster zone.
202,"@hornets How about we join together &amp; collect TANGIBLE items for families in need? They need clothes, baby formula, diapers NOW. #Harvey"
203,@UPSHelp Can you help us donate our clothes and get them to my hometown #Houston for #Harvey to orgs who need it? Live in L.A
204,@USPS Can you help us donate our clothes and get them to my hometown #Houston for #Harvey to orgs who need it? Live in L.A.
205,Would you be able to help me/friends donate our clothes and get them to my hometown #Houston for #Harvey to orgs who need it? Live in L.A.
206,"Hey, y'all tweeting bout #harvey? Cold, wet, hungry, nowhere to sleep or shower, no dry clothes, that's homeless people every time it rains"
207,We have a ton of free clothes and other supplies for flood victims at the Fayette County Record. Come by and take w… https://t.co/qSI4ppqsSK
208,"We are blessed to have a dry home, food &amp; electricity. On our way to donate clothes, food, toiletries and toys to… https://t.co/6IR620kvhM"
209,lets start a challenge. put clothes or shoes you cant fit in a bag and share it to someone or a family in need! #sharethebag #harvey
210,CrossPoint Church Westgreen and I-10 has food water and clothes -  please tell those in need #HARVEYHELP #Harvey2017 #Harvey
211,"There are strollers, diapers, water, bleach, trash bags, toilet paper, food, sheets, clothes, all sorts of supplies… https://t.co/3dE9aTQNNZ"
212,Shoutout to @umichbaseball @UMichAthletics and @ErikBakich for donating clothes to help those affected by #Harvey in my home of Houston
213,"Do you know of a list created  involving places where we can donate clothes around Houston?
 #harvey #Houston"
214,GRB update: No adult clothes! Do need: razors/toothpaste/deodorant/soap/baby kids clothes/underwear/water/snackbars/socks. #houston #harvey
215,"Mountains of donated clothes, blankets, shoes, pillows, bedding at Lakewood. #harvey https://t.co/8WRSbW6xuG"
216,Anyone know of a shelter taking clothing donations? Willing to drop anywhere I can get. Have 6 large garbage bags of comfort clothes.#Harvey
217,"Thanks #familydollar for opn the store. We were able to buy clothes, blankets and other items for empl! #Harvey #HoustonFloods #houston911"
218,#Harvey help where in South Florida can I donate clothes and necessities for Texas?
219,"When school starts there better not be any mess abt ppl's clothes, hair etc. bc you have NO IDEA what they lost during this storm #harvey 💯"
220,"Any local orgs taking donations of clothes &amp; blankets to TX?

#Harvey donations #SOMD #WTOP #CharlesCounty"
221,"You are looking to donate food, water, clothes, etc you can drop it off at Veterans Memorial High School in Corpus… https://t.co/SLoMiFrGLP"
222,To the kids that lost their wardrobe during #Harvey and can't afford new clothes or shoes Ima donate my gear for y'all #SeriousInquiriesonly
223,Does anyone know where we can donate clothes to people in Houston ? I'm definitely down for that . #Harvey
224,"@christinawilkie If they have time for this shit they should be collecting clothes, blankets, food, water, and othe… https://t.co/y1g73Ww1Jt"
225,Looking to donate clothes/food/ supplies to those in need in #Houston. Can anyone link me? #HuricaneHarvey #Harvey #hurricaneharvey2017
226,@AynRandPaulRyan Shame on Melania..ppl are displaced w/just the clothes on their backs &amp; she has the nerve to arriv… https://t.co/WlVDFTzhGf
227,If anyone knows a way I can donate clothes to those in Houston plz drop links thnks. #Harvey #HurricaneHarvey
228,Just heard a woman on @MSNBC saying she just wants 2 be able 2 wash the clothes she's wearing. I hope @tide  #LoadsOfHope can help. #Harvey
229,"@CoralSpringsPD @CoralSpringsFD I have donated $ but want to donate clothes, toiletries, and food. Are there any collections for #Harvey?"
230,Curvy women of Houston &amp; @theashleygraham! We're full of some strong beautiful women who need clothes! Please conder donating. #Harvey
231,"Heard a #Harvey evacuee sheltering in Dallas make a heartfelt plea for a way to keep new, donated clothes clean, @tide. Loads of hope?"
232,"Items that are needed are clothes, food, and toiletries. Baby items and food. Anything that is useful, everything helps. #Austin #harvey"
233,Panthers helping Panthers. Looking for volunteers to cover shifts. Need dry sweats and all ages new under clothes.… https://t.co/sgOhEPyN40
234,"Following in the footsteps of other teams in the MAC, Broncos will send clothes and supplies to those affected by… https://t.co/NHTaCZsOXq"
235,"Please share and spread the word! They are accepting volunteers and donations of food, clothes, and toiletries.… https://t.co/lFRhUPj9zx"
236,"If you can't donate money but want to help #Harvey
If you have used clothes, blankets, or shoes you can send them  https://t.co/BaVo2xieDm"
237,"I'm packing all my cute clothes so when the hurricane takes everything, I can still serve looks
#Harvey"
238,I have clothes I don't need anymore and new XL twin bed set! Where can I donate or if you know anyone that need the… https://t.co/T6jZyhb1EB
